year,model,displ,cyl,trans,drive,fuel,cert_region,stnd,stnd_description,underhood_id,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,comb_co2
2023,ACURA Integra,1.5,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PHNXV01.54EC,large car,7,30,37,33,6,No,269
2023,ACURA Integra,1.5,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PHNXV01.54EC,large car,7,30,37,33,6,No,269
2023,ACURA Integra A-Spec,1.5,4,Man-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,PHNXV01.55DC,large car,6,26,36,30,6,No,293
2023,ACURA Integra A-Spec,1.5,4,Man-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,PHNXV01.55DC,large car,6,26,36,30,6,No,293
2023,ACURA Integra A-Spec,1.5,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PHNXV01.54EC,large car,7,29,36,32,6,No,277
2023,ACURA Integra A-Spec,1.5,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PHNXV01.54EC,large car,7,29,36,32,6,No,277
2023,ACURA MDX,3.5,6,SemiAuto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PHNXT03.5CCC,small SUV,5,19,26,22,5,No,411
2023,ACURA MDX,3.5,6,SemiAuto-10,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PHNXT03.5CCC,small SUV,5,19,26,22,5,No,411
2023,ACURA MDX,3.5,6,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PHNXT03.5CCC,small SUV,5,19,25,21,4,No,423
2023,ACURA MDX,3.5,6,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PHNXT03.5CCC,small SUV,5,19,25,21,4,No,423
2023,ACURA MDX Type-S,3,6,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PHNXT03.0HTC,standard SUV,5,17,21,19,4,No,474
2023,ACURA MDX Type-S,3,6,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PHNXT03.0HTC,standard SUV,5,17,21,19,4,No,474
2023,ALFA ROMEO Giulia,2,4,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PCRXJ02.05P2,midsize car,5,24,33,27,5,No,330
2023,ALFA ROMEO Giulia,2,4,Auto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PCRXJ02.05P2,midsize car,5,24,33,27,5,No,330
2023,ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,PCRXJ02.95P0,midsize car,3,17,25,20,4,No,436
2023,ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,PCRXJ02.95P0,midsize car,3,17,25,20,4,No,436
2023,ALFA ROMEO Giulia AWD,2,4,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PCRXJ02.05P2,midsize car,5,23,31,26,5,No,348
2023,ALFA ROMEO Giulia AWD,2,4,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PCRXJ02.05P2,midsize car,5,23,31,26,5,No,348
2023,ALFA ROMEO Stelvio,2,4,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PCRXJ02.05P2,small SUV,5,22,29,25,5,No,359
2023,ALFA ROMEO Stelvio,2,4,Auto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PCRXJ02.05P2,small SUV,5,22,29,25,5,No,359
